stage_surcharge_m,dem_elevation_m,dem_slope_deg,hand_m,dist_river_km,rain_24h_mm,target_depth_m
2.69,40.06,2.21,9.17,11.92,0.39,0.06
2.45,35.8,1.87,8.84,5.52,417.73,1.89
0.88,31.42,0.9,7.53,8.83,481.77,0.01
2.74,4.81,0.53,12.07,6.11,662.72,2.45
2.97,3.7,1.74,14.02,5.12,40.89,0.0
2.09,7.61,2.4,4.19,10.94,366.16,0.0
3.25,27.0,1.94,2.13,4.52,42.32,3.99
2.74,25.06,0.27,6.49,5.77,1.78,1.85
2.08,42.54,2.98,0.59,5.57,20.48,2.47
3.17,31.87,0.9,13.27,13.07,238.69,0.0
2.1,14.64,1.21,3.75,2.64,1.3,1.68
1.82,8.94,0.78,8.33,5.78,80.81,0.1
1.25,38.53,2.7,1.9,13.33,8.46,0.05
3.09,21.76,0.66,8.39,0.33,26.19,1.75
0.43,30.1,1.43,0.78,14.22,7.58,0.04
1.66,26.3,2.37,11.58,13.49,159.67,0.0
1.88,6.62,1.01,14.34,6.33,75.64,0.03
1.94,4.45,2.34,4.74,9.83,284.63,0.0
2.28,18.21,1.85,4.02,14.87,127.42,0.0
1.77,17.55,4.33,6.83,8.37,428.56,0.02
0.9,30.97,4.02,9.38,1.54,74.33,0.01
3.0,29.18,4.97,3.0,12.82,88.75,0.02
2.3,43.66,2.74,12.09,2.1,74.02,0.0
3.0,38.9,2.96,3.14,3.93,60.96,3.05
0.97,23.35,4.74,0.28,13.12,164.24,0.03
2.23,23.5,2.12,7.96,3.91,116.14,0.64
2.5,30.99,2.87,1.9,11.2,146.52,0.04
1.34,6.91,2.02,10.53,6.77,124.39,0.01
2.84,45.0,2.82,2.68,11.42,23.13,0.0
0.01,24.31,0.59,12.3,3.56,119.56,0.03
2.08,41.13,3.96,7.16,6.35,19.6,0.0
2.15,43.6,4.93,8.58,4.84,89.94,0.05
1.87,27.01,0.52,2.96,3.81,75.24,1.99
2.21,6.44,4.04,2.37,4.79,556.69,3.89
0.59,26.65,1.36,9.54,4.91,2.04,0.0
2.4,27.7,1.15,3.98,14.34,6.19,0.06
1.18,35.94,3.53,5.91,8.05,7.97,0.03
1.58,4.07,0.41,7.3,6.98,41.18,0.11
1.17,22.05,2.42,3.6,7.6,184.74,0.77
1.66,41.68,0.21,11.97,14.94,216.15,0.03
2.18,44.63,2.86,14.1,9.84,95.21,0.0
2.93,10.23,2.42,6.59,10.58,241.06,0.02
1.69,39.44,4.59,13.78,4.77,36.5,0.0
1.13,8.29,3.66,13.26,7.13,6.43,0.04
1.71,38.17,0.8,2.66,2.84,6.1,1.51
2.41,13.92,1.9,2.77,10.31,189.74,0.05
1.21,43.26,4.67,7.27,5.23,122.81,0.11
1.45,31.91,3.68,7.98,11.25,141.68,0.0
1.97,19.16,3.05,5.25,3.28,39.01,0.71
1.03,14.08,2.88,4.83,6.11,58.27,0.03
0.73,12.12,2.11,6.58,7.12,296.02,0.1
0.49,31.27,3.01,10.42,2.58,4.61,0.04
1.23,40.52,3.9,1.45,1.14,135.22,1.13
0.17,34.46,0.81,10.72,4.82,27.36,0.04
2.04,37.9,4.86,13.91,8.22,3.93,0.05
0.62,35.6,1.35,11.5,9.82,141.46,0.07
1.32,44.1,2.35,3.04,6.44,36.52,0.55
0.94,34.59,0.31,1.49,7.55,88.13,1.16
2.21,11.04,2.84,7.46,8.19,111.77,0.09
2.98,36.04,2.03,14.35,7.73,51.92,0.0
2.22,15.85,1.4,12.32,1.45,155.61,0.0
1.9,44.82,4.93,8.53,6.13,95.72,0.01
2.34,18.2,2.26,2.32,3.14,40.62,2.4
0.1,14.59,2.19,10.76,8.05,95.18,0.08
0.43,12.29,2.42,12.23,11.4,84.22,0.02
0.33,30.32,0.76,14.04,8.73,1.24,0.0
0.34,6.7,2.09,9.26,3.41,273.4,0.0
0.91,43.0,1.81,7.81,3.2,79.14,0.01
1.86,14.66,2.43,9.36,0.65,145.45,0.06
0.4,14.7,4.31,14.16,6.45,190.68,0.01
3.27,3.98,1.13,9.5,6.55,60.03,1.59
2.99,12.58,3.12,4.01,3.62,74.17,2.72
3.4,20.02,0.38,9.62,11.49,61.46,0.02
0.15,17.89,1.72,13.22,5.86,44.01,0.02
2.98,13.74,2.47,8.59,10.07,269.76,0.0
2.81,3.75,0.56,7.64,9.64,103.23,0.05
3.16,14.92,2.81,11.05,9.11,16.44,0.09
1.85,35.47,1.69,9.98,13.63,107.47,0.0
2.76,20.87,4.97,1.04,0.34,562.41,4.5
0.18,14.5,3.23,10.93,1.11,96.62,0.0
0.27,15.11,1.37,6.23,10.86,103.76,0.04
0.41,25.84,0.69,14.13,5.37,95.95,0.02
3.2,15.0,0.4,14.57,14.8,29.78,0.0
0.21,29.12,0.64,6.84,3.32,31.71,0.0
0.35,44.55,3.46,14.54,2.83,123.06,0.09
3.26,3.77,4.3,4.8,8.86,52.55,0.02
0.38,9.26,0.95,10.3,4.26,96.52,0.0
3.04,9.7,2.13,1.31,5.17,111.72,4.17
2.76,21.22,1.9,2.35,13.82,156.9,0.01
0.14,3.78,3.29,12.99,0.49,32.26,0.0
0.08,22.53,1.08,13.43,8.02,13.02,0.05
1.87,41.94,4.78,8.08,5.09,26.73,0.0
3.49,2.5,3.7,5.23,5.26,59.06,2.81
3.08,17.69,4.78,6.88,3.79,46.23,1.5
1.09,34.72,1.53,13.07,2.11,82.24,0.0
1.35,8.64,3.02,3.32,0.61,4.29,0.26
1.36,5.34,3.71,4.56,14.82,79.6,0.0
2.57,29.12,3.61,11.82,9.94,30.4,0.01
1.19,2.43,0.3,14.04,11.68,80.02,0.02
0.52,36.48,4.99,1.58,1.07,48.94,0.07
2.61,4.87,4.65,12.1,0.32,35.62,0.02
1.6,24.55,0.77,9.75,9.04,277.09,0.0
0.27,33.83,2.81,3.62,10.89,21.99,0.02
2.77,12.41,1.71,11.39,5.98,102.13,0.28
2.05,6.45,4.42,10.97,5.88,186.12,0.04
1.71,9.55,3.55,2.3,5.83,85.86,1.43
2.36,38.75,1.27,7.63,2.38,189.03,1.38
1.77,32.35,0.36,11.42,11.33,9.0,0.0
2.27,10.52,1.6,3.03,3.31,72.02,2.26
3.04,32.79,0.38,7.05,4.93,49.08,2.15
2.15,32.47,0.88,1.99,10.1,0.54,0.02
2.31,44.9,3.25,4.74,0.1,68.35,1.45
2.15,18.84,3.78,3.43,11.52,42.25,0.05
1.86,39.19,2.45,7.68,13.5,88.33,0.03
0.6,21.2,3.08,2.29,0.87,294.27,0.71
1.17,40.6,0.95,5.87,8.92,10.38,0.0
2.43,5.94,1.72,4.27,6.19,25.0,1.94
1.49,9.54,3.62,11.24,1.27,61.02,0.0
1.42,38.55,1.95,10.56,10.27,65.98,0.0
2.66,37.23,1.87,1.6,9.22,112.54,0.0
0.02,15.13,1.13,14.31,9.68,53.98,0.0
2.38,27.66,3.06,11.22,12.22,1.88,0.06
1.71,18.46,4.09,9.32,4.38,133.03,0.0
1.32,2.44,2.45,7.27,10.19,245.15,0.04
1.19,3.12,0.75,2.83,11.18,50.09,0.01
0.61,4.33,4.22,14.44,2.62,97.09,0.0
1.17,27.55,0.54,0.32,14.36,19.37,0.0
1.37,14.01,2.46,10.45,5.17,20.85,0.06
1.53,8.19,1.45,7.71,10.73,27.9,0.04
2.35,42.47,4.69,13.56,11.33,35.5,0.0
1.59,7.22,3.74,5.83,7.61,311.87,0.77
2.79,30.98,2.92,7.88,2.02,70.63,1.13
2.24,40.45,3.41,11.19,4.21,21.31,0.0
0.66,9.04,2.76,0.9,3.59,31.72,0.25
0.97,11.23,0.91,1.01,7.83,46.71,1.04
0.28,26.67,3.6,3.33,3.99,111.26,0.05
3.31,23.86,2.56,2.37,8.25,57.57,0.0
3.1,24.4,3.24,0.3,4.39,58.31,4.14
0.3,25.85,0.42,9.42,0.11,81.22,0.0
2.01,42.85,0.88,11.98,5.51,20.26,0.0
3.36,4.32,3.03,14.37,9.14,9.65,0.01
2.61,34.7,2.41,6.73,11.63,2.56,0.0
1.72,12.0,1.29,4.34,0.52,30.27,0.92
0.84,18.07,1.36,12.99,3.95,11.68,0.07
0.98,5.84,3.23,12.7,14.78,27.66,0.0
2.58,21.16,0.48,9.45,4.0,131.2,1.0
2.73,36.58,2.28,4.24,11.68,97.29,0.0
1.85,6.25,2.71,13.65,7.69,94.88,0.07
0.42,13.85,1.68,2.84,1.92,212.46,0.15
3.27,18.04,4.14,0.85,9.69,39.93,0.0
2.96,6.47,0.47,11.99,14.5,194.8,0.0
0.49,34.78,4.36,8.54,13.31,55.94,0.02
0.2,35.84,3.67,3.85,10.39,60.23,0.14
1.88,37.94,2.34,10.13,7.73,53.88,0.0
0.99,27.11,4.64,11.55,4.86,8.0,0.0
0.99,23.81,3.57,12.7,5.42,367.78,0.07
0.31,13.29,4.67,4.38,5.26,18.0,0.0
3.34,30.17,2.47,0.58,13.84,50.76,0.0
2.91,21.12,2.37,7.75,3.25,38.93,1.3
0.4,43.74,2.75,12.87,5.73,8.99,0.0
3.07,43.63,0.51,3.28,6.54,12.38,3.39
2.39,40.92,4.56,6.43,6.19,3.56,0.42
1.14,17.48,3.41,4.0,0.16,41.4,0.05
3.05,17.82,3.16,0.4,4.14,143.15,4.44
2.09,38.66,4.65,13.5,7.53,30.84,0.02
2.97,33.35,4.97,2.2,11.43,11.62,0.0
1.64,32.29,0.98,11.55,8.59,101.77,0.01
1.75,14.02,3.8,5.33,5.83,562.33,2.29
1.02,37.83,2.98,4.31,10.01,21.25,0.05
1.36,26.92,2.41,14.13,10.02,38.62,0.02
1.99,21.22,4.89,9.93,3.79,419.3,0.28
3.31,39.21,4.28,10.37,1.65,17.0,0.52
2.1,18.95,3.54,11.44,12.07,63.59,0.06
0.52,30.12,2.04,5.25,7.99,28.71,0.04
0.02,22.03,3.4,8.54,2.73,275.94,0.0
2.98,27.49,2.75,4.2,4.0,342.23,3.83
1.28,3.74,1.4,12.55,11.52,147.75,0.02
1.1,21.83,2.36,9.07,9.83,31.64,0.0
2.8,25.93,1.22,3.8,14.18,39.79,0.0
3.31,23.19,2.6,13.52,7.03,25.04,0.0
2.62,38.44,3.66,8.8,0.88,229.93,1.0
0.61,15.38,0.38,7.53,10.54,263.57,0.0
1.37,40.02,3.87,0.71,3.9,59.35,1.24
2.66,19.35,0.3,13.67,4.93,91.15,0.0
3.17,31.86,2.68,14.29,3.03,19.64,0.05
3.5,5.73,2.95,8.53,4.7,36.18,1.81
1.79,10.61,3.85,6.75,12.46,91.23,0.11
2.88,34.73,3.85,5.52,8.69,53.66,0.01
0.16,2.53,2.2,4.17,1.73,44.47,0.05
1.0,43.65,0.52,8.7,8.84,0.09,0.0
1.3,10.2,3.53,2.1,9.54,165.33,0.0
3.41,40.76,2.65,13.8,13.28,257.47,0.01
0.01,24.19,1.8,2.8,12.91,337.37,0.06
1.08,26.28,1.33,11.23,1.04,140.49,0.0
3.26,5.62,0.77,4.74,13.01,96.58,0.02
1.07,17.7,1.62,3.55,0.86,32.94,0.19
0.79,8.72,2.4,8.46,2.4,705.4,0.56
2.56,24.62,2.49,11.52,1.76,58.12,0.0
2.61,25.68,3.0,10.96,2.81,97.48,0.0
1.65,32.52,1.94,3.66,12.07,110.85,0.0
3.31,39.77,4.62,5.09,10.32,206.06,0.03
0.71,22.13,2.58,13.06,10.34,0.87,0.01
3.2,12.03,2.23,10.9,13.84,29.88,0.01
2.64,16.34,0.43,10.75,5.94,86.71,0.5
1.29,38.42,3.08,4.18,0.15,241.99,0.83
2.82,8.27,3.09,11.92,9.63,101.67,0.0
0.47,28.97,3.0,5.5,13.03,49.04,0.04
0.46,2.56,4.46,6.14,14.65,49.7,0.01
3.25,12.56,3.86,4.46,5.52,107.97,2.97
0.33,27.43,4.36,2.0,12.35,92.95,0.02
0.01,21.63,0.49,6.42,12.75,87.76,0.0
1.36,23.22,1.73,0.45,2.25,32.55,1.66
0.36,30.4,1.73,6.95,9.51,286.28,0.01
3.02,12.09,3.35,10.93,2.68,96.82,0.43
3.23,14.07,2.35,14.42,6.75,103.61,0.0
1.69,31.43,3.93,1.36,13.2,23.69,0.02
1.49,25.15,2.05,4.36,11.86,43.66,0.09
1.89,2.63,1.26,7.51,8.6,252.57,0.0
0.79,30.82,1.6,2.72,12.15,6.12,0.0
1.04,28.66,1.08,1.93,2.38,75.68,1.12
0.35,5.38,1.15,6.89,3.0,61.81,0.0
1.56,34.14,1.24,8.79,3.21,101.02,0.06
2.14,24.45,0.28,12.34,11.66,28.43,0.0
3.26,10.8,3.64,14.97,13.38,24.19,0.0
2.59,26.05,2.12,11.66,8.49,276.57,0.0
2.53,27.6,0.31,3.48,14.37,85.48,0.02
1.08,41.57,1.98,11.27,10.95,11.67,0.0
3.11,33.91,4.55,8.15,8.5,18.99,0.01
3.31,14.98,2.65,6.87,9.21,717.21,0.0
3.26,7.08,4.94,14.05,12.76,15.57,0.0
0.14,38.69,2.79,10.59,1.44,68.52,0.06
2.12,38.38,4.82,10.29,2.6,39.61,0.0
2.25,9.54,1.17,0.37,4.07,251.51,4.13
1.03,4.67,1.59,13.0,13.43,95.02,0.03
3.47,32.61,3.56,11.94,14.18,100.58,0.0
1.02,33.07,4.94,4.62,5.41,0.83,0.07
0.76,9.62,4.16,4.52,13.87,192.52,0.0
1.69,30.73,2.86,0.99,8.25,69.11,0.0
1.13,13.99,0.61,0.95,7.15,262.47,2.2
3.23,13.21,1.95,10.1,12.51,51.66,0.0
1.54,15.95,0.61,2.96,8.24,94.68,0.0
1.44,24.38,1.69,13.87,6.87,8.46,0.04
2.19,36.59,1.44,12.67,0.34,120.87,0.06
0.28,23.44,2.07,5.36,0.29,40.39,0.0
2.65,14.82,4.22,5.83,9.45,39.12,0.01
2.69,40.01,0.92,5.04,1.19,10.8,2.04
1.66,4.37,1.67,1.57,11.08,12.12,0.01
3.34,36.27,1.45,0.67,9.37,21.34,0.11
2.03,35.73,1.62,6.89,6.92,42.06,0.38
2.43,12.9,1.93,14.16,10.68,176.59,0.0
3.24,10.53,1.37,13.78,14.9,50.5,0.04
2.33,39.61,4.72,12.19,3.77,146.71,0.04
1.51,26.03,2.22,9.5,8.4,10.17,0.0
0.09,3.98,0.75,12.87,12.66,64.92,0.07
2.55,40.31,2.44,7.82,0.35,53.32,0.77
3.38,17.01,1.09,2.87,3.13,435.62,4.5
1.65,16.71,1.24,10.33,7.86,140.06,0.02
1.19,29.66,1.57,13.83,8.33,38.34,0.06
1.82,30.44,0.8,0.49,1.39,171.34,3.1
2.55,17.19,3.66,3.92,6.17,17.68,1.82
0.0,8.16,4.0,4.13,7.84,72.44,0.04
3.11,25.75,2.09,1.67,6.4,6.95,3.74
3.1,28.88,3.51,3.54,10.54,48.55,0.0
1.89,38.99,2.07,5.88,11.59,21.28,0.0
0.43,22.83,0.99,14.11,6.96,147.33,0.0
2.35,29.76,2.11,12.93,6.44,67.16,0.0
0.48,4.34,2.87,14.2,10.61,131.23,0.0
1.78,40.46,0.4,1.98,8.37,59.66,0.08
0.33,16.07,3.34,0.62,13.07,7.01,0.03
2.06,29.19,3.76,1.83,7.27,133.12,2.26
1.11,41.39,4.33,13.73,8.66,160.47,0.05
2.91,36.85,0.69,2.53,2.02,274.02,4.47
2.8,29.42,0.2,8.68,12.56,78.29,0.09
3.49,32.26,0.55,3.57,6.39,130.9,4.3
0.9,41.6,4.64,0.51,10.81,122.43,0.0
0.22,36.92,3.87,1.45,6.5,18.62,0.0
1.55,28.22,4.21,10.7,0.12,15.84,0.0
0.29,30.32,2.68,2.9,6.07,5.81,0.01
0.62,8.33,2.73,3.59,2.3,44.06,0.01
2.09,22.22,1.63,5.78,6.04,63.2,1.14
2.07,14.94,4.25,9.93,4.89,605.35,1.25
0.15,20.57,4.18,7.15,3.12,56.02,0.0
1.55,30.48,2.08,14.18,1.94,137.03,0.02
1.86,8.41,1.78,6.63,10.96,96.5,0.0
0.94,2.75,3.74,3.15,11.35,14.87,0.01
3.05,19.07,0.33,8.13,4.05,6.71,1.7
0.56,15.85,4.33,6.87,7.48,55.81,0.0
0.89,20.08,2.34,11.85,7.01,127.67,0.0
0.55,42.04,2.32,14.04,5.39,431.09,0.0
0.41,32.4,3.41,12.58,4.24,37.9,0.0
3.08,16.08,3.3,5.96,2.87,151.31,2.51
0.97,9.71,1.48,3.4,13.11,45.26,0.05
2.53,28.59,4.73,13.73,12.52,119.11,0.03
1.5,30.28,4.93,5.91,6.32,66.75,0.0
2.23,22.8,2.72,11.6,10.85,4.63,0.0
3.25,11.15,2.89,14.85,7.53,9.66,0.0
2.96,3.23,2.86,8.75,1.37,1.87,0.8
0.24,13.42,2.53,7.3,12.35,51.32,0.0
2.96,21.66,4.74,10.56,3.37,161.85,0.49
1.58,35.88,1.37,3.07,10.63,22.94,0.0
1.23,38.71,0.72,7.43,7.96,108.42,0.04
2.35,19.76,4.66,4.82,10.39,27.91,0.0
3.33,36.23,1.22,2.63,7.12,191.78,4.5
0.33,44.71,3.8,9.23,10.57,178.3,0.04
2.69,32.81,1.18,8.72,0.59,168.48,1.46
0.71,33.33,4.81,11.47,0.71,47.55,0.0
1.33,41.11,4.0,13.12,13.46,40.11,0.02
3.06,16.54,4.61,3.46,11.27,181.19,0.02
1.91,2.48,4.76,11.74,12.44,22.38,0.0
0.24,44.44,0.61,5.64,6.9,23.22,0.02
1.78,23.09,2.28,9.51,6.95,15.62,0.0
2.76,35.78,3.31,12.78,8.06,134.87,0.0
1.85,36.94,4.05,3.99,3.73,107.55,1.03
0.58,19.09,1.36,9.09,11.03,91.61,0.0
1.56,25.27,4.59,7.31,12.46,60.69,0.0
3.24,25.22,1.26,11.9,13.62,7.2,0.0
2.3,11.47,4.36,10.52,7.8,212.59,0.03
2.55,7.06,2.66,11.59,6.28,60.49,0.03
2.75,25.37,2.67,4.46,12.48,43.8,0.04
0.32,7.17,2.0,10.62,11.31,72.26,0.01
2.04,16.88,0.7,9.17,13.02,16.17,0.0
1.32,10.0,1.87,6.96,9.87,10.42,0.0
0.49,32.4,2.25,5.8,13.26,52.58,0.0
0.71,39.5,2.5,5.11,1.43,30.34,0.0
2.73,26.85,3.75,0.34,10.23,26.13,0.0
0.57,19.64,1.89,2.71,1.42,180.06,0.32
1.09,44.86,2.15,1.07,11.26,54.83,0.0
1.0,2.91,4.55,12.76,9.46,74.25,0.05
0.17,15.09,3.81,12.93,0.34,141.28,0.0
1.62,13.98,0.31,12.72,9.03,253.6,0.0
2.68,17.32,4.1,12.31,2.28,9.56,0.02
0.08,11.92,4.95,3.48,2.22,177.13,0.0
0.39,13.36,4.71,7.48,2.34,95.72,0.0
2.52,13.08,4.21,13.64,7.31,14.24,0.0
2.08,23.75,3.22,11.44,1.82,35.43,0.0
2.5,18.82,1.54,0.23,1.97,69.56,3.6
0.81,29.49,3.34,7.0,3.92,141.18,0.07
2.81,24.12,3.54,0.36,0.11,20.23,3.44
1.68,9.89,1.55,4.35,4.21,93.65,0.94
2.14,36.83,1.43,6.65,9.31,99.64,0.0
0.32,22.3,2.11,13.41,9.06,63.15,0.04
0.72,8.59,3.28,9.88,14.55,192.95,0.08
2.71,9.18,1.61,5.56,1.88,187.23,2.53
0.78,36.27,2.87,7.46,13.0,66.5,0.0
0.32,32.23,4.52,12.3,5.93,312.36,0.0
2.09,23.78,1.62,4.63,5.87,5.54,1.23
1.92,15.16,4.84,9.3,5.3,0.31,0.0
2.13,21.8,2.47,4.08,1.96,45.06,1.44
2.16,29.37,0.68,7.3,7.23,68.94,0.83
1.75,39.81,0.46,0.56,11.83,117.73,0.0
1.73,25.9,1.83,12.81,13.14,49.53,0.0
3.23,13.9,1.44,0.92,14.45,11.65,0.0
1.87,3.84,4.25,3.52,11.8,13.5,0.02
2.16,9.54,3.74,5.14,9.38,181.37,0.0
0.93,29.96,4.45,9.45,7.51,164.58,0.0
3.05,8.9,3.03,10.86,13.14,103.22,0.0
0.09,22.71,2.29,1.39,11.12,83.34,0.03
1.95,32.06,1.5,0.84,2.5,60.28,2.52
1.34,15.25,3.0,12.03,10.27,24.8,0.08
2.11,30.77,3.17,10.74,6.52,56.55,0.0
1.26,26.99,2.09,12.51,8.98,99.13,0.04
2.51,20.87,4.7,10.21,13.49,50.72,0.0
0.07,40.58,3.27,11.31,9.82,2.15,0.0
1.42,31.76,4.22,5.81,14.09,224.39,0.0
2.91,17.51,3.18,8.93,13.01,220.56,0.0
0.88,36.58,1.72,12.12,2.02,27.61,0.04
0.18,33.74,3.74,2.75,0.27,79.78,0.0
1.74,36.04,1.31,6.46,5.83,275.02,1.26
3.42,29.56,3.06,11.16,12.99,11.63,0.0
0.22,18.31,2.13,8.08,3.53,59.47,0.01
0.25,16.99,0.92,10.29,10.4,53.15,0.0
2.08,30.13,2.18,4.53,7.19,46.87,1.24
0.88,7.63,1.69,0.68,11.22,212.82,0.0
1.44,37.26,0.74,0.63,2.56,49.92,1.92
2.91,17.92,4.15,14.15,3.66,5.11,0.02
0.7,29.11,2.59,14.18,3.71,5.04,0.0
2.52,23.46,1.86,3.33,8.27,3.35,0.0
1.77,24.33,2.62,2.38,4.42,41.4,1.6
3.17,33.73,3.82,0.47,12.19,97.2,0.0
3.41,28.95,0.29,3.62,5.27,23.28,3.89
1.7,12.76,2.82,5.15,9.95,72.68,0.0
2.05,5.19,2.5,3.77,14.23,99.97,0.06
2.61,38.13,4.49,12.0,9.14,29.52,0.01
1.12,40.05,2.87,11.29,3.71,73.7,0.0
0.79,9.07,0.86,1.4,12.47,77.24,0.11
3.38,15.31,2.07,10.52,0.29,42.66,1.1
1.51,14.14,3.18,7.9,3.92,28.94,0.0
0.01,42.31,0.42,2.16,5.87,108.83,0.05
2.93,10.81,4.45,11.15,3.02,389.14,1.12
2.1,9.16,0.53,1.47,9.1,37.2,0.04
0.59,9.82,0.35,2.82,8.41,42.89,0.0
0.11,33.38,0.21,2.41,6.16,49.66,0.05
1.02,40.18,3.48,14.1,4.49,7.72,0.05
3.25,18.91,2.39,10.53,6.57,75.81,1.01
3.27,7.85,0.69,6.29,4.44,36.52,2.66
1.09,27.19,4.31,12.37,3.4,10.58,0.0
2.93,11.03,1.17,3.4,5.33,44.7,3.14
1.55,4.76,1.77,13.98,9.07,0.36,0.04
2.29,40.11,1.05,10.52,9.76,59.27,0.02
1.17,39.45,4.65,8.48,4.53,13.32,0.03
1.81,43.96,3.84,11.96,14.22,1.64,0.02
1.03,22.38,3.67,9.74,4.0,186.22,0.04
0.21,14.64,0.41,13.33,10.71,263.43,0.0
0.49,35.1,2.71,12.47,1.31,27.78,0.01
1.02,9.76,2.96,3.13,10.01,60.49,0.0
3.42,12.46,2.04,3.75,6.95,34.9,3.52
3.38,12.99,1.74,1.16,8.58,45.08,0.05
2.9,42.92,4.29,3.46,2.84,57.7,2.56
0.81,33.38,0.31,5.28,6.56,26.29,0.06
1.55,7.75,3.2,0.63,11.52,131.07,0.0
1.54,5.99,2.09,4.86,11.53,15.47,0.02
1.35,38.24,3.4,11.62,3.64,4.62,0.05
0.16,36.5,1.15,12.64,5.35,137.6,0.08
1.87,30.85,1.35,0.33,0.16,76.73,2.65
0.25,10.43,3.02,0.31,1.44,60.6,0.0
2.81,22.65,4.9,2.37,1.99,53.28,2.61
2.42,27.92,4.88,13.11,4.48,50.84,0.08
1.23,42.08,1.4,7.15,11.41,66.77,0.0
2.26,9.29,0.69,14.75,7.7,35.84,0.0
0.82,24.16,3.03,13.33,11.91,69.83,0.07
0.93,8.78,2.22,13.37,11.35,87.19,0.0
1.1,21.09,3.86,2.1,8.85,138.06,0.0
2.79,10.61,2.73,7.23,7.55,136.87,1.73
0.74,37.96,2.65,14.91,13.98,34.85,0.0
1.97,12.95,3.3,2.41,8.58,59.58,0.05
0.7,19.94,0.81,8.7,7.29,37.18,0.0
1.0,19.53,3.45,5.3,13.05,90.65,0.0
0.82,39.25,2.54,5.94,1.16,63.53,0.01
2.26,34.59,4.14,13.38,9.87,241.79,0.0
1.84,4.48,0.87,8.9,1.78,81.12,0.01
2.52,4.88,1.64,11.43,12.32,223.6,0.09
0.77,25.7,4.76,10.16,11.91,138.13,0.0
0.03,20.39,2.85,8.03,7.6,404.52,0.08
2.38,13.85,4.66,11.92,9.95,65.34,0.02
0.4,36.08,3.51,14.57,11.61,393.71,0.05
0.86,7.53,4.65,14.51,7.3,11.29,0.0
1.07,43.88,1.73,11.88,13.6,5.37,0.03
2.61,3.04,0.63,7.41,6.61,90.23,1.58
2.19,7.08,4.05,2.61,13.39,284.76,0.0
0.64,15.39,4.06,0.86,8.78,35.6,0.09
2.09,23.89,3.17,3.63,6.45,26.14,1.32
2.48,11.29,2.98,5.24,0.16,63.32,1.46
1.36,33.66,4.59,2.12,4.5,72.59,0.71
0.86,17.37,1.05,3.53,13.03,41.03,0.0
2.38,3.66,3.16,1.44,6.49,142.41,3.0
2.14,39.74,0.44,7.95,6.38,361.77,1.85
0.27,42.59,0.88,2.07,7.39,164.98,0.19
2.33,28.6,2.3,11.19,4.37,22.03,0.0
1.71,36.68,4.14,5.12,7.42,41.42,0.09
2.64,7.21,3.72,10.15,5.7,44.47,0.06
0.67,13.56,4.88,13.26,13.65,51.04,0.0
0.9,15.98,0.42,1.47,8.5,11.78,0.04
1.9,43.31,2.03,14.84,12.53,127.51,0.11
1.69,24.03,0.96,9.75,10.33,32.01,0.03
1.35,2.32,0.38,0.99,3.27,251.98,2.6
2.61,18.35,1.47,4.85,13.03,249.73,0.0
1.98,2.33,1.37,13.32,1.4,2.46,0.0
2.49,12.23,2.22,9.02,6.78,529.35,2.21
0.54,21.55,0.87,4.45,3.66,146.61,0.01
2.55,15.91,2.55,14.12,8.11,71.3,0.03
1.62,3.41,4.62,11.85,4.57,39.83,0.08
0.12,7.0,3.79,11.09,10.87,89.41,0.0
0.82,25.69,4.24,13.35,14.06,40.63,0.0
0.09,31.91,4.06,11.59,10.67,85.09,0.08
1.6,19.4,2.07,4.44,5.39,9.4,0.47
1.14,33.45,3.6,8.84,9.04,85.16,0.01
3.46,9.02,3.82,12.67,13.34,37.31,0.03
3.04,7.25,1.19,2.88,4.12,1.63,3.31
2.89,38.1,4.33,2.61,1.86,90.11,3.01
1.75,16.59,2.4,2.55,2.05,97.6,1.67
2.82,20.59,0.28,3.07,7.47,62.31,3.33
0.93,42.75,3.29,1.73,11.01,7.95,0.0
1.96,20.24,3.45,12.6,9.89,254.85,0.0
1.38,2.15,2.85,12.31,6.86,81.33,0.0
0.6,42.33,1.22,2.44,10.97,8.59,0.08
0.25,2.61,2.51,10.64,9.55,80.91,0.01
1.95,30.48,2.12,9.48,9.46,63.71,0.0
0.34,15.88,4.88,4.29,3.12,4.4,0.02
2.51,22.23,4.16,3.57,4.76,65.22,2.02
3.23,25.53,3.86,3.91,5.23,119.73,3.23
0.57,19.56,1.07,11.01,12.14,148.85,0.0
1.65,35.3,1.79,4.93,11.65,23.89,0.0
2.59,42.02,2.02,4.31,3.86,148.95,2.63
1.0,5.72,2.56,0.53,0.92,47.55,0.92
3.22,36.41,0.35,13.64,11.54,233.49,0.02
3.11,7.53,3.05,11.34,6.21,8.2,0.09
0.36,5.45,1.92,7.2,3.38,61.32,0.07
0.1,43.1,2.9,14.16,1.84,96.85,0.0
3.42,23.04,0.24,4.54,0.29,24.38,3.55
3.35,8.56,1.74,10.19,6.47,123.45,1.63
1.48,26.51,3.89,4.72,5.16,111.47,0.27
0.18,13.32,2.61,4.86,10.48,1.19,0.07
2.17,21.97,3.99,12.7,14.65,113.43,0.02
1.03,28.86,3.56,11.85,3.18,68.68,0.02
3.28,39.38,4.3,4.55,3.72,19.36,2.59
2.78,2.13,0.24,1.4,5.13,548.06,4.5
2.27,11.21,1.45,5.49,7.04,159.91,1.79
1.0,6.14,2.83,11.45,10.5,32.38,0.0
