rain_1h,rain_lag1,delta_1h,acceleration,radar_dbz,cape_jkg,pwat_mm,target_rain_1h,target_heavy_rain
3.98,3.99,-0.02,-0.0,31.0,2612.0,37.6,0.5,0
2.34,2.22,0.13,0.1,30.6,1014.0,49.3,6.49,0
16.67,19.77,-3.11,-0.75,42.4,2867.0,59.0,9.5,0
19.73,23.71,-3.98,-2.47,43.8,2751.0,57.2,13.88,0
55.88,50.26,5.63,-1.79,50.6,880.0,51.2,47.39,1
6.38,7.13,-0.74,-0.18,38.3,1019.0,52.2,4.08,0
5.58,6.49,-0.91,-0.57,32.5,918.0,44.1,4.83,0
17.98,19.64,-1.67,-0.43,44.3,1603.0,53.2,12.39,0
5.0,3.96,1.05,0.45,36.4,2022.0,73.1,6.25,0
32.04,39.27,-7.23,0.12,48.5,2078.0,69.0,21.81,0
23.46,24.01,-0.55,0.21,49.6,1442.0,40.8,21.94,0
6.72,5.85,0.88,0.08,35.2,2988.0,36.2,9.06,0
16.68,15.93,0.75,0.01,44.5,1684.0,72.3,13.51,0
16.86,12.18,4.68,2.93,42.4,909.0,56.1,18.41,0
1.31,1.01,0.29,-0.05,27.3,1521.0,56.5,1.66,0
27.94,32.39,-4.45,-3.37,46.1,2075.0,66.2,21.1,0
8.44,5.91,2.53,1.89,37.1,1780.0,47.6,9.41,0
21.02,19.96,1.05,-0.19,46.8,1457.0,54.3,18.91,0
4.63,4.69,-0.06,0.0,32.7,1115.0,73.7,3.41,0
27.11,19.86,7.24,4.81,43.1,2766.0,61.9,51.75,1
5.92,7.6,-1.68,-1.27,34.3,3191.0,41.1,6.16,0
0.13,0.11,0.02,0.0,10.1,1591.0,40.3,1.42,0
28.29,24.97,3.32,-0.27,49.0,1716.0,43.2,27.64,0
1.15,1.01,0.14,0.02,24.2,2283.0,65.7,2.52,0
4.62,3.87,0.75,0.29,36.3,2524.0,46.8,4.2,0
35.96,25.21,10.76,-1.55,45.2,1741.0,35.9,38.13,1
36.1,41.06,-4.97,-2.27,47.0,2972.0,72.8,24.55,0
10.22,13.09,-2.86,1.24,38.6,2144.0,41.8,9.6,0
11.99,10.01,1.98,-0.86,40.0,1881.0,35.4,5.75,0
7.14,7.84,-0.7,-0.0,36.8,2352.0,44.5,5.42,0
4.16,4.77,-0.6,0.02,34.3,3087.0,44.4,5.42,0
4.78,5.78,-1.0,0.09,33.0,2707.0,51.9,0.68,0
13.4,12.77,0.62,0.09,41.3,896.0,71.8,12.63,0
16.75,14.77,1.98,-0.16,42.5,1598.0,70.2,14.18,0
18.82,16.85,1.97,-0.49,41.6,1929.0,53.3,16.47,0
18.71,21.09,-2.39,0.23,43.1,1555.0,51.4,16.23,0
1.15,1.37,-0.22,-0.17,23.7,2480.0,57.2,1.18,0
8.18,6.62,1.56,0.05,37.3,2783.0,44.7,3.97,0
0.71,0.66,0.06,0.0,20.7,2555.0,37.1,0.0,0
9.57,11.88,-2.31,-0.58,38.9,3174.0,72.6,8.37,0
6.99,8.28,-1.29,-1.0,35.7,1454.0,42.5,5.71,0
26.24,33.87,-7.63,1.42,48.3,2900.0,42.9,20.97,0
5.19,5.98,-0.79,-0.31,32.1,2640.0,53.9,7.16,0
1.49,1.4,0.1,0.04,24.4,1669.0,54.7,0.66,0
1.85,1.95,-0.1,-0.03,32.9,2562.0,35.7,6.5,0
17.2,18.86,-1.66,0.64,40.7,1050.0,40.9,13.7,0
11.55,8.63,2.92,1.11,37.3,2694.0,50.1,10.17,0
1.28,1.31,-0.03,0.01,26.2,2078.0,62.3,0.0,0
1.05,1.19,-0.13,-0.04,19.2,1501.0,44.1,0.0,0
14.49,11.59,2.89,1.33,41.1,2374.0,51.9,17.83,0
0.91,1.06,-0.15,0.03,26.6,2340.0,57.3,3.87,0
20.7,21.74,-1.04,-0.62,41.0,1303.0,70.5,14.7,0
14.7,18.69,-3.99,1.84,37.7,873.0,48.0,9.8,0
1.02,0.74,0.28,0.17,20.1,1841.0,40.3,1.29,0
1.06,0.91,0.15,0.01,25.2,2167.0,54.6,0.0,0
51.79,54.94,-3.16,0.69,52.7,2904.0,64.9,38.54,1
5.63,4.94,0.69,-0.22,34.0,3028.0,39.4,4.77,0
5.56,6.27,-0.71,-0.53,36.3,2069.0,52.0,3.46,0
20.11,23.23,-3.12,1.27,46.6,2609.0,35.7,14.51,0
35.31,26.89,8.42,-2.03,51.4,1854.0,36.3,35.66,1
51.23,51.65,-0.43,0.02,49.9,2591.0,54.3,46.12,1
16.8,16.89,-0.09,-0.03,38.0,1292.0,46.9,13.6,0
5.66,5.22,0.44,0.09,33.4,1691.0,68.8,5.48,0
1.05,1.32,-0.27,0.09,22.5,2322.0,59.1,2.18,0
18.01,21.55,-3.54,0.44,42.6,844.0,53.2,14.13,0
9.81,10.97,-1.16,0.22,38.5,2534.0,51.3,6.38,0
6.62,7.48,-0.85,0.19,38.4,2805.0,54.9,5.29,0
28.42,27.77,0.65,0.02,48.8,1758.0,36.6,25.7,0
1.41,1.77,-0.36,-0.15,25.1,1875.0,70.7,0.0,0
8.14,9.09,-0.95,0.21,39.8,2843.0,74.9,8.85,0
0.14,0.16,-0.02,0.0,10.0,2662.0,42.3,2.97,0
7.59,9.24,-1.65,-0.01,37.2,1492.0,39.8,3.88,0
0.7,0.6,0.09,0.07,22.3,1578.0,40.7,1.06,0
1.52,1.8,-0.28,-0.21,26.1,2429.0,61.4,2.33,0
1.5,1.23,0.27,0.15,29.9,2152.0,61.5,0.41,0
12.57,11.4,1.17,-0.22,37.7,1189.0,68.9,12.39,0
16.45,14.82,1.62,-0.67,41.4,1544.0,65.1,15.24,0
10.51,13.52,-3.02,0.27,39.1,2960.0,53.0,4.01,0
39.3,47.7,-8.41,1.29,49.4,2452.0,59.5,28.93,0
5.64,6.32,-0.68,-0.11,37.6,3166.0,62.5,2.1,0
4.04,4.59,-0.55,-0.28,32.7,2641.0,55.5,4.86,0
24.35,25.26,-0.91,-0.56,42.4,3061.0,54.0,18.6,0
3.04,3.85,-0.81,-0.49,32.4,1319.0,60.8,1.58,0
39.63,39.55,0.09,-0.0,50.1,2652.0,57.3,36.49,1
0.15,0.14,0.01,0.0,10.0,849.0,60.8,1.13,0
42.03,33.53,8.5,-0.79,49.0,2410.0,59.5,70.73,1
0.53,0.62,-0.09,0.04,15.4,1926.0,63.8,0.0,0
26.61,30.36,-3.74,-1.54,44.5,1632.0,60.7,18.48,0
9.0,8.38,0.62,-0.3,36.5,2870.0,55.8,8.79,0
59.48,42.54,16.95,0.54,53.0,2850.0,62.3,110.52,1
0.92,1.11,-0.19,0.01,22.7,854.0,53.0,0.0,0
9.69,6.85,2.84,1.14,36.2,2263.0,44.7,8.12,0
41.8,46.91,-5.11,-2.53,50.7,1683.0,35.1,31.98,0
8.89,11.39,-2.51,0.26,35.3,1798.0,57.4,5.55,0
11.91,11.47,0.45,0.25,40.9,2797.0,58.6,14.81,0
14.28,12.01,2.27,-0.27,39.9,1544.0,73.9,13.69,0
7.27,8.17,-0.89,-0.07,36.1,3063.0,49.5,9.18,0
11.85,14.11,-2.26,-1.0,41.2,1231.0,50.8,5.94,0
10.53,10.83,-0.29,-0.12,40.4,2391.0,43.1,5.58,0
27.77,35.55,-7.78,-6.1,48.8,2413.0,37.8,14.52,0
0.56,0.41,0.15,-0.03,18.8,1405.0,65.9,2.95,0
3.96,3.97,-0.01,-0.0,33.2,1579.0,45.0,6.87,0
36.05,40.77,-4.72,-1.38,47.0,2804.0,59.4,25.51,0
26.52,32.29,-5.77,-3.98,46.2,2628.0,62.5,16.68,0
7.3,5.89,1.4,-0.42,37.7,1590.0,53.8,4.71,0
11.62,13.71,-2.09,-1.0,39.9,2081.0,70.1,4.57,0
3.9,4.02,-0.12,-0.03,28.9,948.0,52.8,4.66,0
2.5,2.35,0.16,-0.02,30.0,1301.0,46.4,2.67,0
7.48,5.82,1.65,0.19,37.7,1966.0,70.8,7.55,0
5.23,6.38,-1.15,0.08,33.1,1006.0,69.5,0.89,0
10.51,8.35,2.16,0.55,36.8,2824.0,41.6,13.83,0
0.97,0.86,0.11,0.07,25.8,2523.0,36.0,0.0,0
43.98,38.44,5.54,1.33,50.3,3065.0,38.6,74.28,1
51.41,62.86,-11.46,-3.68,49.9,2464.0,46.5,32.06,0
14.37,15.86,-1.49,-0.26,39.3,3057.0,73.9,10.76,0
9.22,10.86,-1.64,0.71,36.8,2131.0,57.3,7.48,0
4.44,3.78,0.67,-0.13,36.0,2241.0,49.9,4.85,0
20.17,21.68,-1.51,-0.21,44.2,3145.0,70.5,16.37,0
13.85,14.45,-0.6,0.06,40.2,2341.0,53.1,12.37,0
2.13,2.55,-0.43,0.11,29.3,874.0,47.6,0.0,0
29.02,36.09,-7.07,-1.1,44.8,2537.0,72.6,19.97,0
20.75,14.67,6.07,-0.49,47.1,2973.0,69.0,38.42,1
35.9,39.65,-3.75,0.62,50.6,2709.0,68.7,28.59,0
15.52,11.35,4.17,0.43,41.1,2201.0,55.5,16.29,0
11.4,11.74,-0.33,0.11,38.7,2411.0,66.6,6.95,0
6.5,5.67,0.83,0.58,30.8,3176.0,42.2,3.6,0
32.39,28.63,3.75,2.36,44.2,1018.0,57.9,26.26,0
24.12,22.0,2.13,0.89,42.5,2401.0,74.4,23.82,0
0.56,0.6,-0.04,0.01,19.2,1480.0,46.6,2.1,0
0.32,0.29,0.03,0.02,14.5,2336.0,66.8,1.99,0
5.67,6.46,-0.79,-0.44,32.4,2258.0,54.6,4.78,0
19.96,18.82,1.14,0.57,43.3,1168.0,36.6,13.63,0
52.37,38.81,13.56,-4.77,51.5,1296.0,65.5,50.47,1
1.96,2.29,-0.33,-0.11,28.7,2292.0,41.7,1.75,0
10.82,9.43,1.39,0.81,35.8,1108.0,60.3,10.62,0
5.75,5.52,0.23,0.06,34.9,1436.0,38.4,4.62,0
42.04,46.72,-4.68,-1.59,46.2,2805.0,72.9,32.89,0
22.15,19.92,2.23,0.21,46.3,1585.0,46.7,20.42,0
21.87,16.05,5.82,1.09,46.0,1971.0,44.1,23.06,0
7.59,7.01,0.57,-0.26,35.3,3059.0,40.2,5.5,0
6.43,8.14,-1.71,-0.57,34.4,1345.0,72.8,6.12,0
3.83,4.16,-0.33,0.13,31.4,1735.0,63.5,2.21,0
0.7,0.77,-0.07,-0.0,16.0,2255.0,64.7,0.0,0
24.01,25.91,-1.91,0.23,45.8,2613.0,55.0,17.62,0
20.11,16.48,3.63,0.76,43.3,2964.0,54.0,19.06,0
98.07,93.26,4.81,-1.57,56.8,2997.0,39.4,88.21,1
68.34,78.63,-10.29,-4.11,50.2,2664.0,57.4,49.96,1
9.73,7.4,2.33,1.24,37.6,1348.0,44.9,9.8,0
17.58,15.24,2.34,-0.67,39.9,860.0,74.1,13.87,0
34.75,30.09,4.66,-1.7,45.7,1721.0,66.9,33.85,0
22.74,21.81,0.93,-0.29,42.4,1140.0,51.5,18.58,0
3.41,4.39,-0.98,-0.63,33.5,2505.0,41.1,1.87,0
7.19,5.32,1.86,0.35,35.3,2387.0,66.4,10.43,0
1.66,1.68,-0.02,-0.0,26.8,906.0,39.9,2.41,0
36.96,29.85,7.11,-2.57,47.3,2808.0,42.6,59.56,1
11.18,14.34,-3.16,-1.09,37.2,1397.0,43.5,3.54,0
3.12,2.39,0.72,0.45,30.6,1837.0,57.3,3.13,0
13.37,12.59,0.77,0.45,42.2,2403.0,66.5,9.57,0
11.55,13.2,-1.65,-0.52,37.6,1831.0,47.6,9.86,0
5.32,5.97,-0.65,0.26,36.2,1859.0,38.4,4.23,0
1.45,1.38,0.07,-0.02,23.9,958.0,53.6,1.6,0
13.36,12.13,1.23,-0.54,40.1,1763.0,64.9,10.64,0
8.82,8.27,0.54,-0.09,39.2,2636.0,43.9,11.32,0
17.76,15.25,2.51,-0.81,41.7,2996.0,43.8,22.28,0
8.81,7.25,1.56,-0.25,38.2,1792.0,72.9,7.93,0
22.94,22.71,0.23,0.0,44.2,1817.0,73.2,20.36,0
9.63,8.3,1.34,0.97,39.0,2486.0,74.6,9.54,0
9.88,8.62,1.26,0.37,34.2,3063.0,67.3,8.83,0
25.11,27.48,-2.36,-1.38,41.7,1441.0,42.5,17.72,0
6.2,7.94,-1.74,-0.74,36.9,1856.0,43.5,1.73,0
1.73,1.83,-0.11,0.04,28.9,2710.0,48.6,0.0,0
0.35,0.26,0.09,0.04,13.9,2263.0,47.7,1.18,0
16.88,12.59,4.3,-0.61,42.2,1065.0,73.3,16.08,0
11.62,14.77,-3.15,-1.04,40.6,2307.0,66.6,2.32,0
14.61,12.83,1.78,-0.1,43.0,1248.0,64.0,14.49,0
2.87,2.17,0.7,0.56,26.3,2025.0,42.4,2.99,0
1.76,1.86,-0.1,0.02,25.2,2070.0,71.4,4.12,0
0.18,0.19,-0.01,0.0,10.3,2903.0,68.1,0.89,0
5.18,5.64,-0.46,-0.33,35.8,1910.0,41.5,1.05,0
10.7,9.2,1.49,-0.7,44.5,1471.0,69.8,5.47,0
5.98,4.24,1.74,0.71,35.0,1354.0,45.9,5.0,0
6.9,8.83,-1.93,-0.85,33.6,2898.0,38.2,3.09,0
28.14,23.93,4.21,2.47,47.0,1210.0,61.3,29.3,0
5.14,5.68,-0.54,-0.42,37.0,1822.0,61.2,3.87,0
8.66,9.73,-1.07,-0.82,38.2,1249.0,38.8,8.69,0
18.37,19.58,-1.21,0.5,41.4,2656.0,47.8,12.27,0
6.06,5.38,0.68,0.39,37.4,1938.0,74.7,7.64,0
11.68,10.07,1.6,0.55,41.4,1643.0,62.1,12.6,0
23.8,25.19,-1.39,-0.48,43.0,1667.0,64.2,15.12,0
35.83,43.71,-7.87,2.62,48.6,2845.0,43.5,28.42,0
1.91,2.42,-0.51,-0.18,29.5,2129.0,38.2,1.42,0
31.34,23.93,7.41,5.76,49.3,2523.0,46.1,59.28,1
8.13,6.45,1.68,1.15,37.4,2953.0,45.0,6.62,0
3.58,4.54,-0.96,-0.07,31.2,2964.0,44.4,4.93,0
7.38,8.42,-1.05,0.47,39.3,1588.0,42.7,3.3,0
46.96,57.76,-10.79,0.31,47.3,3086.0,58.0,34.32,0
8.14,6.69,1.45,0.83,38.5,860.0,48.1,9.76,0
4.78,5.03,-0.25,-0.1,31.1,1704.0,67.8,1.92,0
12.04,13.5,-1.45,-0.14,42.4,2950.0,42.4,13.18,0
3.3,3.65,-0.36,0.15,30.8,1459.0,53.6,3.06,0
0.95,0.89,0.05,0.0,25.2,1455.0,35.5,2.15,0
1.66,1.17,0.48,0.05,27.5,1526.0,54.3,0.0,0
1.64,1.73,-0.08,-0.06,24.0,2270.0,37.2,5.56,0
1.98,1.68,0.29,0.1,30.6,1852.0,74.1,0.0,0
1.79,1.74,0.05,-0.01,30.2,2544.0,66.6,3.61,0
12.29,15.66,-3.37,-0.62,42.2,2948.0,54.6,6.0,0
2.41,2.26,0.15,-0.06,27.6,2418.0,38.5,0.89,0
5.09,6.13,-1.04,-0.79,33.7,1291.0,58.7,5.0,0
27.25,22.16,5.09,-0.16,46.3,3038.0,65.4,48.97,1
7.71,8.51,-0.8,-0.1,35.8,1435.0,42.6,3.44,0
13.22,17.0,-3.78,0.14,44.3,1160.0,57.7,10.88,0
2.27,1.73,0.54,0.21,29.0,1016.0,67.6,4.44,0
2.56,1.81,0.76,0.27,24.1,2152.0,65.7,0.89,0
0.5,0.48,0.02,0.01,18.9,1073.0,67.1,3.64,0
2.22,1.68,0.54,-0.08,27.9,1133.0,70.2,0.0,0
3.92,4.5,-0.58,0.05,32.4,1520.0,72.5,1.7,0
2.34,2.92,-0.58,0.2,28.2,1476.0,51.2,2.6,0
1.11,1.07,0.04,0.02,25.4,2250.0,57.8,0.0,0
1.54,1.32,0.22,-0.1,28.3,2760.0,66.6,1.97,0
7.41,7.12,0.29,0.08,37.5,2627.0,62.9,7.0,0
2.77,3.14,-0.37,-0.23,29.4,1430.0,74.8,1.67,0
5.44,3.83,1.6,1.05,34.7,1389.0,35.5,7.64,0
8.4,8.85,-0.45,-0.04,37.8,3118.0,49.2,6.37,0
14.07,15.03,-0.96,-0.09,39.8,820.0,46.2,11.75,0
0.48,0.52,-0.04,0.02,19.1,2911.0,45.5,2.68,0
19.28,16.29,2.98,1.11,44.5,1279.0,43.9,20.28,0
11.86,13.39,-1.52,-0.86,43.3,3073.0,63.4,10.4,0
1.02,0.77,0.25,-0.05,25.7,1622.0,38.4,0.0,0
24.82,20.34,4.48,0.21,44.0,1857.0,64.7,25.24,0
30.44,37.33,-6.89,-4.07,48.4,2497.0,62.7,18.39,0
0.76,0.86,-0.11,-0.07,19.2,2210.0,45.0,0.0,0
3.89,2.76,1.13,-0.21,33.8,1563.0,45.1,3.88,0
19.69,16.72,2.97,0.64,42.7,2129.0,60.2,17.11,0
16.55,13.72,2.84,-0.71,40.5,2554.0,65.5,17.4,0
2.45,2.11,0.34,-0.12,29.8,902.0,70.1,3.91,0
2.82,2.39,0.43,0.29,24.9,827.0,69.1,0.0,0
5.55,4.1,1.46,0.83,31.4,1899.0,73.6,4.27,0
7.95,7.76,0.2,0.1,37.1,1116.0,58.3,4.0,0
11.56,13.17,-1.61,0.7,40.2,2394.0,71.3,7.98,0
5.52,5.88,-0.35,-0.21,34.1,1314.0,67.3,5.31,0
7.45,8.22,-0.77,-0.05,33.8,1839.0,70.8,5.31,0
16.51,12.36,4.15,-0.23,40.9,1274.0,35.5,15.62,0
0.45,0.57,-0.12,-0.03,18.2,2116.0,73.6,2.89,0
3.49,4.2,-0.71,0.27,32.9,1079.0,53.9,0.0,0
14.99,17.74,-2.74,-1.33,41.8,855.0,66.9,13.01,0
27.07,32.31,-5.25,-1.35,48.2,923.0,40.1,18.01,0
8.6,10.83,-2.23,0.57,38.8,3090.0,50.8,5.78,0
9.11,9.36,-0.24,0.06,36.9,1141.0,45.9,6.54,0
1.36,1.12,0.24,-0.06,24.6,2500.0,46.7,4.39,0
7.12,7.62,-0.5,0.21,33.8,963.0,39.9,3.3,0
9.13,10.46,-1.33,-0.35,38.2,1060.0,67.2,6.79,0
3.33,3.81,-0.48,-0.28,33.6,2021.0,35.4,3.49,0
3.76,3.81,-0.05,0.02,33.6,1916.0,47.5,0.0,0
5.68,4.21,1.47,-0.64,37.9,3084.0,42.0,3.83,0
0.24,0.22,0.02,0.0,12.6,3068.0,58.6,0.0,0
4.66,5.84,-1.18,-0.67,36.4,2671.0,45.2,1.22,0
2.85,3.0,-0.14,0.01,29.9,2245.0,45.4,0.7,0
4.76,4.87,-0.11,0.0,36.8,1892.0,54.5,3.27,0
1.53,1.32,0.21,0.06,25.9,1655.0,61.1,2.76,0
26.54,24.45,2.1,-0.3,47.2,3073.0,39.9,23.23,0
10.8,13.37,-2.56,1.19,42.5,2247.0,42.0,9.9,0
13.64,15.0,-1.36,-0.62,40.8,2190.0,44.9,8.51,0
18.68,21.9,-3.22,-1.01,43.8,1357.0,73.9,10.93,0
8.28,8.05,0.23,0.06,40.3,912.0,50.9,11.06,0
1.09,1.18,-0.09,-0.04,23.4,3068.0,59.0,0.0,0
9.24,7.85,1.4,0.53,35.8,1553.0,44.7,6.32,0
10.61,11.91,-1.31,0.3,43.7,1862.0,54.6,4.72,0
16.42,15.71,0.71,-0.03,41.5,1075.0,38.0,16.58,0
6.78,6.55,0.23,-0.08,36.6,2809.0,36.4,5.22,0
1.64,1.78,-0.15,0.05,28.8,866.0,53.7,0.8,0
4.01,5.05,-1.05,-0.4,31.4,2802.0,50.9,2.27,0
5.41,4.0,1.42,0.87,32.7,1137.0,40.5,7.81,0
12.46,14.89,-2.43,-1.82,41.0,2928.0,62.5,8.11,0
10.15,8.89,1.26,0.4,35.5,2551.0,74.7,14.28,0
5.28,5.1,0.18,-0.05,34.0,1195.0,50.8,4.87,0
51.67,36.85,14.82,-5.38,50.9,2158.0,60.0,95.0,1
11.17,9.84,1.33,0.74,39.2,1550.0,73.5,12.2,0
3.25,3.25,-0.01,-0.0,28.1,1228.0,68.3,2.69,0
1.29,0.95,0.34,0.1,28.0,2862.0,53.5,0.18,0
1.99,1.98,0.01,0.01,28.0,1768.0,64.5,2.36,0
3.39,4.26,-0.87,-0.36,34.4,1757.0,40.1,3.22,0
2.1,1.6,0.5,0.29,27.7,1208.0,55.5,1.05,0
2.48,2.87,-0.39,0.17,27.6,1719.0,46.2,2.21,0
4.03,3.81,0.22,0.1,33.2,2892.0,41.4,6.07,0
2.28,2.5,-0.21,-0.13,28.3,1672.0,52.1,5.9,0
27.25,23.33,3.92,-0.5,43.6,3084.0,40.2,27.41,0
1.0,0.8,0.21,0.07,26.0,3071.0,63.0,4.74,0
8.92,7.1,1.82,-0.17,37.0,1148.0,53.2,7.52,0
6.34,4.71,1.63,1.22,32.2,1226.0,56.2,8.21,0
48.46,39.32,9.14,-4.17,52.6,2870.0,40.9,84.46,1
1.43,1.57,-0.14,-0.04,24.5,1743.0,40.6,0.0,0
6.09,7.48,-1.39,0.4,34.3,810.0,58.3,3.36,0
41.87,49.76,-7.89,-3.36,45.4,1457.0,74.4,32.84,0
24.07,26.75,-2.67,0.73,48.6,2234.0,38.9,16.88,0
20.38,15.62,4.76,-0.92,41.4,2718.0,46.4,17.65,0
3.58,3.13,0.45,0.06,32.0,1120.0,69.8,6.42,0
2.25,1.99,0.26,0.18,30.5,1065.0,37.9,4.52,0
13.25,11.27,1.99,-0.45,41.8,3013.0,70.0,13.37,0
31.8,32.09,-0.29,0.09,46.9,2603.0,56.0,26.77,0
9.76,9.97,-0.21,-0.1,35.4,2215.0,51.3,7.25,0
10.17,9.3,0.87,0.13,37.5,2646.0,47.4,9.84,0
3.94,3.6,0.35,0.24,32.9,1829.0,46.9,6.81,0
17.61,21.08,-3.47,1.07,41.4,2620.0,47.2,13.36,0
2.48,2.92,-0.43,-0.15,29.7,1692.0,70.4,6.12,0
4.69,4.15,0.54,-0.11,35.1,1386.0,64.0,2.53,0
6.65,8.3,-1.65,0.49,38.1,2550.0,61.8,4.61,0
8.5,10.81,-2.31,-0.9,35.4,1807.0,66.9,4.68,0
3.33,2.99,0.35,0.09,35.8,3155.0,45.3,0.92,0
1.46,1.34,0.13,0.06,27.2,1639.0,59.7,1.04,0
11.32,11.36,-0.04,0.0,39.9,3012.0,53.4,10.43,0
4.09,5.17,-1.08,-0.09,35.0,3039.0,66.3,3.76,0
10.45,12.8,-2.36,-0.06,44.0,1380.0,47.4,11.6,0
2.01,1.53,0.48,0.37,25.0,2716.0,60.7,3.06,0
7.87,7.37,0.51,-0.06,36.9,1839.0,70.3,9.32,0
9.13,9.42,-0.29,0.03,33.6,3002.0,51.1,7.7,0
0.64,0.64,-0.0,0.0,20.3,1880.0,37.7,3.9,0
4.92,4.02,0.9,0.21,34.8,2586.0,55.6,9.65,0
1.73,2.11,-0.37,0.06,26.7,1921.0,48.8,2.3,0
0.79,0.87,-0.08,-0.06,20.0,1347.0,61.9,0.0,0
55.21,66.41,-11.19,1.73,46.8,1278.0,73.0,38.66,1
4.67,5.67,-1.01,-0.67,34.5,1821.0,54.4,3.68,0
19.92,22.89,-2.97,1.08,46.7,2613.0,53.6,16.1,0
3.53,3.4,0.13,0.05,30.6,2252.0,61.2,4.49,0
13.73,14.64,-0.91,-0.62,42.1,2453.0,39.1,11.81,0
17.14,13.64,3.49,-0.98,39.6,1478.0,45.1,16.71,0
10.87,12.0,-1.13,-0.86,40.5,1955.0,71.8,6.97,0
7.65,6.18,1.47,0.13,36.4,907.0,61.8,8.34,0
6.37,7.11,-0.74,-0.54,34.4,2762.0,35.5,8.48,0
5.15,4.31,0.84,0.32,32.9,3176.0,43.2,7.07,0
31.83,24.53,7.3,-0.79,46.3,1777.0,62.3,32.89,0
21.31,17.03,4.28,-1.09,45.0,826.0,65.6,22.8,0
40.24,28.21,12.02,-1.26,46.1,1208.0,68.6,41.31,1
1.59,1.8,-0.21,0.08,25.5,2366.0,46.7,0.22,0
15.75,17.95,-2.2,0.69,42.1,2269.0,72.2,10.57,0
33.43,33.73,-0.3,0.11,45.2,2691.0,57.1,27.99,0
2.4,1.91,0.49,0.02,32.7,1409.0,62.9,1.53,0
0.83,0.62,0.21,0.11,20.0,2633.0,58.9,3.29,0
16.22,11.54,4.68,-1.48,41.0,2451.0,39.9,15.64,0
10.25,8.2,2.06,-0.68,37.2,1575.0,73.5,8.33,0
22.13,27.32,-5.19,-1.75,48.1,2109.0,39.9,18.72,0
1.81,1.53,0.28,-0.07,28.2,1153.0,45.2,0.81,0
19.03,17.37,1.66,-0.62,41.6,1886.0,67.5,17.46,0
2.7,2.06,0.64,-0.18,32.1,2915.0,59.7,3.59,0
2.14,1.79,0.36,0.25,28.7,1811.0,68.5,0.0,0
2.15,2.18,-0.02,-0.01,28.9,2815.0,55.6,4.28,0
20.22,21.53,-1.31,0.05,43.2,2217.0,50.1,17.59,0
13.13,11.12,2.01,0.71,39.4,1261.0,71.9,15.82,0
8.88,6.53,2.36,0.47,38.9,2195.0,36.5,7.92,0
5.33,4.98,0.35,0.13,33.6,2014.0,69.2,5.0,0
25.17,21.15,4.01,1.56,49.1,1757.0,44.2,24.6,0
5.98,4.97,1.01,0.32,32.9,1087.0,68.9,6.38,0
20.35,25.97,-5.62,0.87,47.0,1800.0,40.6,10.79,0
6.94,7.42,-0.48,0.22,36.2,975.0,58.2,5.85,0
5.68,5.87,-0.19,-0.02,35.7,1037.0,70.5,1.84,0
7.45,7.08,0.38,0.25,38.6,1798.0,53.9,7.37,0
4.3,4.12,0.18,0.04,31.9,1533.0,64.9,0.0,0
16.52,16.93,-0.41,-0.24,44.2,3021.0,67.2,10.0,0
8.38,9.37,-0.99,-0.78,32.4,1702.0,64.5,7.89,0
3.17,3.56,-0.38,0.11,29.6,2619.0,72.0,1.37,0
27.58,22.15,5.43,2.17,44.2,2073.0,52.9,46.89,1
5.81,5.81,-0.0,-0.0,32.7,2490.0,41.9,7.48,0
9.41,8.91,0.5,0.38,38.2,1424.0,36.9,9.09,0
28.43,34.76,-6.32,-4.94,47.0,3061.0,44.9,20.36,0
11.75,12.67,-0.93,-0.36,41.5,2072.0,40.7,8.93,0
1.49,1.52,-0.03,0.01,26.3,2795.0,57.3,6.61,0
33.73,25.94,7.78,4.19,46.1,1676.0,42.4,33.82,0
11.86,12.61,-0.75,0.27,40.9,1041.0,36.6,13.13,0
4.89,3.77,1.12,0.58,34.3,2417.0,36.4,4.95,0
1.8,1.62,0.18,0.12,29.0,819.0,68.3,0.0,0
18.96,14.9,4.06,-0.01,45.0,1941.0,58.7,19.84,0
11.61,12.95,-1.34,-0.43,40.1,1263.0,49.3,9.48,0
9.15,7.54,1.61,0.1,36.6,2306.0,70.8,6.79,0
26.92,25.17,1.75,0.12,44.6,3151.0,37.8,22.26,0
18.65,23.07,-4.43,0.43,42.2,1915.0,74.2,12.9,0
1.97,1.62,0.35,0.17,27.1,2762.0,59.7,2.66,0
4.48,4.5,-0.02,-0.02,34.0,2019.0,42.3,0.0,0
3.43,3.26,0.17,0.12,33.0,1990.0,62.2,5.16,0
16.35,11.62,4.73,-1.29,42.3,3033.0,65.5,15.79,0
0.41,0.48,-0.07,-0.05,16.8,2936.0,52.2,0.0,0
10.12,7.51,2.62,1.2,39.4,2686.0,69.5,12.57,0
17.25,16.98,0.27,-0.05,41.8,1511.0,41.0,14.78,0
25.12,26.04,-0.91,0.38,43.6,2108.0,46.2,23.26,0
5.02,5.41,-0.39,0.06,30.7,1337.0,38.7,4.9,0
20.66,23.0,-2.34,-1.6,42.7,1865.0,43.4,15.56,0
1.41,1.2,0.21,0.07,26.3,1962.0,44.5,1.05,0
22.48,15.87,6.61,2.89,43.2,2796.0,71.7,43.93,1
1.64,1.86,-0.22,0.04,26.0,2950.0,38.1,0.42,0
6.08,6.21,-0.13,-0.06,36.5,1795.0,52.1,3.36,0
